"옵션 관리코드","옵션별상품코드","모델명","주문상품명","상품옵션","주문품목 단가","주문품목 수량","주문품목 결제금액","부가세여부","주문번호","주문상태(품목별)"
"","M811-000000000000004","PMR405","PMR405 폴밋 순 면 라운드 머슬 남성 민소매 티셔츠 런닝","색상 : 백색, 치수 : 100","4180","6","25080","부가세","20200605082434-34418368178","배송완료"
"","M2796-00000000000002","JBR1028","JBR1028 비너스 자스민 여자 노와이어 홑겹 풀컵 브라 AA컵 A컵 B컵","치수 : 75AA, 색상 : 살색","6720","2","13440","부가세","20200605082434-34418368178","배송완료"
"","M2796-00000000000038","JBR1028","JBR1028 비너스 자스민 여자 노와이어 홑겹 풀컵 브라 AA컵 A컵 B컵","치수 : 85B, 색상 : 살색(+840)","6720","1","7560","부가세","20200605082434-34418368178","배송완료"
"","M2796-00000000000039","JBR1028","JBR1028 비너스 자스민 여자 노와이어 홑겹 풀컵 브라 AA컵 A컵 B컵","치수 : 85B, 색상 : 연브라운(+840)","6720","2","15120","부가세","20200605082434-34418368178","배송완료"
"","M2813-00000000000006","JBR0934","JBR0934 비너스 자스민 무빙 에어쿨 메쉬 테잎 흡습속건 와이어 노볼륨 몰드 여성 AA컵 A컵 브라","색상 : 연브라운, 치수 : 85A","12516","1","12516","부가세","20200605082434-34418368178","배송완료"
"","M2813-00000000000003","JBR0934","JBR0934 비너스 자스민 무빙 에어쿨 메쉬 테잎 흡습속건 와이어 노볼륨 몰드 여성 AA컵 A컵 브라","색상 : 연브라운, 치수 : 85AA","12516","1","12516","부가세","20200605082434-34418368178","배송완료"
"","M2813-00000000000002","JBR0934","JBR0934 비너스 자스민 무빙 에어쿨 메쉬 테잎 흡습속건 와이어 노볼륨 몰드 여성 AA컵 A컵 브라","색상 : 연브라운, 치수 : 80AA","12516","1","12516","부가세","20200605082434-34418368178","배송완료"
"","M2813-00000000000005","JBR0934","JBR0934 비너스 자스민 무빙 에어쿨 메쉬 테잎 흡습속건 와이어 노볼륨 몰드 여성 AA컵 A컵 브라","색상 : 연브라운, 치수 : 80A","12516","1","12516","부가세","20200605082434-34418368178","배송완료"
"","M454557-000000000009","C5UABFAD01","첨이첨이 베이시스 3 여티반 순면 여아동 반팔 런닝 셔츠","모델명 : C5UABFAD01, 사이즈 : 70(7~8세)","3150","1","3150","부가세","20200605082434-34418368178","배송완료"
"","M454557-000000000007","C5UABFAD01","첨이첨이 베이시스 3 여티반 순면 여아동 반팔 런닝 셔츠","모델명 : C5UABFAD01, 사이즈 : 60(3~4세)","3150","2","6300","부가세","20200605082434-34418368178","배송완료"
"","M481604-000000000038","ABRA1002","ABRA1002 아찌라 플러스 홑겹 무빙 하이플렉스 와이어 보정 기능성 브라","ABRA1002 : 75C, 색상 : 베이지(BE)","16560","1","16560","부가세","20200605082434-34418368178","배송완료"
"","M481604-000000000044","ABRA1002","ABRA1002 아찌라 플러스 홑겹 무빙 하이플렉스 와이어 보정 기능성 브라","ABRA1002 : 85C, 색상 : 베이지(BE)","16560","1","16560","부가세","20200605082434-34418368178","배송완료"
"","M481604-000000000043","ABRA1002","ABRA1002 아찌라 플러스 홑겹 무빙 하이플렉스 와이어 보정 기능성 브라","ABRA1002 : 85C, 색상 : 블랙(BK)","16560","1","16560","부가세","20200605082434-34418368178","배송완료"
"","M490239-000000000002","BYC2113","BYC2113 BYC 골런닝 순면 남성 베이직 민소매 런닝","BYC2113 : 95","2027","3","6081","부가세","20200605082434-34418368178","배송완료"
"","M527436-000000000001","PGR3730","PGR3730 판도라 by 비비안 망사 파워넷 체형 보정 기능성 여성 노라인 거들 팬티","PGR3730 : 64","13200","1","13200","부가세","20200605082434-34418368178","배송완료"
"","M556536-000000000005","T5XH2A512X","T5XH2A512X 태창 이랜드 흡한속건 쿨론 스포츠 기능성 남자 카라 반팔 티셔츠 3부 상의","T5XH2A512X : 퍼플(513X), 사이즈 : 95","3000","2","6000","부가세","20200605082434-34418368178","배송완료"
"","M565270-000000000001","BYL7592","BYL7592 BYC 고급 순면 여자 맥시 삼각 팬티 3매입 세트 빅사이즈","BYL7592 : 90","5521","1","5521","부가세","20200605082434-34418368178","배송완료"
